video_id,comment_id,title,published_at,channel,view_count,like_count,comment_count
XGwxd5wILrA,,PROGRAM MAKAN BERGIZI GRATIS PEMERINTAH,2025-08-09T02:26:57Z,MI TA'MIRUL ISLAM SURAKARTA,2678,41,2
vl2Ec7xHuo4,,Keracunan Massal Proyek Makan Bergizi Gratis | Bocor Alus Politik,2025-09-27T04:00:06Z,Tempodotco,637743,8224,1032
UVJyy9e59DQ,,Makan Bergizi Gratis Bersama #makanenak #makangratis #makananindonesia #prabowo #sekolahdasar,2025-09-08T11:30:28Z,Guru Online,2039,16,0
Gi7N4H5BKfs,,Makan Bergizi Gratis buat Handai Tolan | Opini Tempo,2025-04-24T11:00:06Z,Tempodotco,83595,2027,418
jCno2fVj_CA,,"Kasus Keracunan Program Makan Bergizi Gratis, Kepala BGN Ungkap Ada Bahan Baku yang Tak Layak Saji",2025-05-22T09:07:45Z,Tribunnews,87202,681,81
KiMevwclJS0,,Makan Bergizi Gratis #kelilingkakres #guruslb #sekolahluarbiasa #makanbergizigratis #mashallah,2025-09-09T08:35:46Z,Kak Res,2802,30,2
lFz6t3MFkvQ,,"Dapur Makan Bergizi Gratis Belum Dibayar, Kepala BGN: Kewajiban dengan Mitra Sudah Selesai",2025-04-17T07:25:30Z,KOMPASTV BENGKULU,3475,6,24
FXQQ2EovHrw,,Ada Dapur Fiktif Makan Bergizi Gratis? Ini tanggapan Badan Gizi Nasional,2025-08-12T17:33:22Z,KONTAN TV,1173,8,12
lUgjj3IlX_o,,Pemerintah Targetkan 24 Ribu SPPG untuk Program Makan Bergizi Gratis | 1ST SESSION CLOSING,2025-08-19T10:00:18Z,IDX CHANNEL,2618,16,14
0U6O59lSeQ0,,Ribuan Makan Bergizi Gratis Didistribusikan ke Pelajar TK Hingga SMA | Kabar Utama Pagi tvOne,2025-08-06T04:15:24Z,tvOneNews ,2023,10,2
VqL09IamppI,,Kroni dan Pendukung Prabowo dalam Proyek Makan Bergizi Gratis #shorts,2025-04-21T10:30:20Z,Tempodotco,26320,552,70
upFCnsut7tg,,Rangking Momen Makan Bergizi Gratis (MBG) 😂,2025-10-13T10:30:38Z,Tungtungzxz,37231,678,6
UdeagS_LD-Y,,Menu Makan Bergizi Gratis kamis alhamdulillah #shorts #mbg #makansianggratis #food,2025-10-02T03:48:08Z,Galeri Anak TK,22911,116,12
PPE9HdYETqE,,menikmati makanan bergizi gratis punya teman yang tidak mau makan #makanbergizigratis #sekolah,2025-10-14T07:32:11Z,Amy sopuk,168896,1121,7
NgojntCGA9U,,Naik Drastis! Makan Bergizi Gratis Sentuh Rp335 Triliun,2025-08-19T03:03:34Z,Bisniscom,1134,18,30
wTBXsjNlsms,,Omon-omon Makan Bergizi Gratis | Explained,2025-01-29T12:00:06Z,Tempodotco,272513,6527,1914
hEiaoa8Yb0E,,"Viral! Dapur Makan Bergizi Gratis di Cipatat Kena Semprot, Cuci Nampan Ala Kadarnya",2025-10-02T14:37:16Z,Tribun Timur,29465,128,86
qwqkmisX6Ns,,Menilik Dapur Makan Bergizi Gratis di Depok | Kabar Pagi tvOne,2025-01-07T02:24:00Z,tvOneNews ,9743,25,10
XO5KtrWV4m4,,"Siswa SD Tolak Makan Bergizi Gratis, Ulat Ditemukan di Menu MBG!",2025-09-28T07:30:13Z,CNN Indonesia,125250,409,444
vTpni3-26gE,,Program MBG makan bergizi gratis #MBG #makanbergizigratis #shortsvideo,2025-10-02T11:13:32Z,Ajari Aku Belajar,1792,9,0
rh2aQ4UlPWc,,"Ribuan Anak Keracunan Makanan Bergizi Gratis, Evaluasi Mendesak",2025-09-21T07:30:24Z,CNN Indonesia,49805,198,403
x5EkgQSqB5w,,Makan Bergizi Gratis Hari ke-1 #mbgday1 #makanbergizigratis #spenfourma #makanbergizi,2025-10-13T12:19:08Z,SMP NEGERI 4 MAJENANG,1726,64,1
IdX3CU2AZu8,,Kepala BGN Targetkan 20 Juta Penerima Makan Bergizi Gratis Hingga Agustus 2025 | tvOne,2025-05-04T11:00:01Z,tvOneNews ,2087,15,8
XanATS0ovlA,,MBG (Makan Bergizi Gratis) Hari Ke 18 #dj #nttpride #remix #makanbergizi #makanbergizigratis #mbg,2025-10-09T01:41:49Z,SURBAKTI TV,1934,14,0
b8vACL5BJY4,,Program Makan Bergizi Gratis (MBG) di tahun pelajaran baru 2025/2026,2025-08-27T06:11:35Z,SMP NEGERI 4 KALIBUNDER,1576,9,0
VONYtetXBAk,,Makan Bergizi Gratis Pak Prabowo di Sekolah Luar Biasa #kelilingkakres #guruslb #makangratis #lucu,2025-09-05T03:02:43Z,Kak Res,39738,294,0
J_0MyTo4I8I,,REVIEW ANAK SD MAKAN BERGIZI GRATIS,2025-01-08T11:09:04Z,Haris Pohan,472934,16175,1349
eij6V_MPF5o,,"Dengan program makan bergizi gratis, Mereka lebih siap menyerap pelajaran dan jadi generasi emas.",2025-10-19T03:09:34Z,Area NTT,963,6,0
9voSInADsCg,,PEMBERIAN MAKAN BERGIZI GRATIS #shorts #pemberian #makanbergizigratis #enak #viralvideo #trending,2025-09-16T10:44:44Z,Kholifatul Asma,37746,139,8
ERm4yWg5pQo,,PEMBAGIAN MAKAN BERGIZI GRATIS #shorts #pembagian #makanbergizigratis #enak #viralvideo #trending,2025-10-13T10:32:51Z,Kholifatul Asma,24523,83,3
NE20EzHEQSo,,PEMBAGIAN MAKAN BERGIZI GRATIS #shorts #pembagian #makanbergizigratis #enak #trending,2025-10-18T08:49:31Z,Kholifatul Asma,27359,82,0
nJXucQZIaLY,,Viral! Surat Pernyataan Kontroversial soal Program Makan Bergizi Gratis (MBG),2025-09-18T09:29:33Z,KOMPASTV JAWA TENGAH,44658,219,762
gJdq64jqNFA,,Trauma Akibat Keracunan Massal Makan Bergizi Gratis | Explained,2025-10-08T12:00:06Z,Tempodotco,22180,372,105
tx5rB9apsw0,,Ini Kunci Sukses Pelaksanaan Makan Bergizi Gratis (MBG),2024-11-07T12:01:08Z,CNN Indonesia,13870,95,5
hS5KTo17XrU,,"Kasus Keracunan Makan Bergizi Gratis, Ketua DPR Puan: MBG Harus Evaluasi Total!",2025-09-23T03:27:37Z,KOMPASTV JAWA TIMUR,7595,28,92
EvFBartBWnU,,Makan Bergizi Gratis untuk Sekolah Rakyat,2025-07-10T01:09:05Z,Kemensos RI,10456,126,6
FG4lPmb3Kko,,Makan Bergizi Gratis hari selasa #shorts #mbg #makansianggratis,2025-10-14T04:38:11Z,Galeri Anak TK,32542,93,10
RgSYaewpgrg,,MBG (Makanan Bergizi Gratis) #shorts #shortsvideo,2025-09-29T23:23:52Z,mainan shakila,177166,2131,199
mWjuAxaK5L4,,Makan Bergizi Gratis: SPPG Kalijati Subang Siapkan 3.593 paket MBG untuk 11 Sekolah dan 1 Posyandu,2025-10-10T15:06:05Z,KOMPASTV,83292,107,15
obFcoob2laQ,,BGN Siapkan Skema Asuransi Program Makan Bergizi Gratis,2025-05-10T12:36:36Z,Kompas.com,2025,11,1
EDoaw8-vaO0,,PEMBAGIAN MAKAN BERGIZI GRATIS #shorts #pembagian #makanbergizigratis #enak #viralvideo #trending,2025-10-04T04:07:31Z,Kholifatul Asma,29421,88,4
x36ZBdhPev0,,Makan Bergizi Gratis #prabowo #prabowosubianto #presidenprabowo #makanbergizigratis #nkri #mbg,2025-10-18T16:10:29Z,Rumah Sehat,857,6,0
q14Iu48-Nco,,MAKAN BERGIZI GRATIS,2025-08-22T05:40:28Z,SDN 2 KARANGANYAR,20016,118,5
ywzYcyEZajk,,Makan Bergizi Gratis (MBG) dari siapa?,2025-05-02T05:33:27Z,Nurul Faizah,1479341,23526,223
aVTy_soDA60,,"Program Makan Bergizi Gratis Disorot Usai Kasus Keracunan Massal, Sri Sultan HB X Bereaksi!",2025-10-18T06:21:40Z,KOMPASTV JEMBER,2783,0,18
cJvCSFBiGZI,,makan bergizi gratis malah jatuh 😭 #shorts #viral #pov,2025-09-15T00:00:45Z,Canda Sekolah,1174453,2907,25
AojTz9EErxQ,,Program Makan Bergizi Gratis Gerakkan Ekonomi Rp50 Triliun,2025-08-20T05:20:00Z,GARUDA TV,232,2,0
6nGiMuO6q6g,,Ingin Jadi Mitra Badan Gizi Nasional Untuk Program Makan Bergizi Gratis? Ini Tahapannya! | Liputan 6,2025-09-20T01:00:05Z,Liputan6,2552,9,11
7UzxNkObUko,,"Gerindra soal Makan Bergizi Gratis Tak Ada Susu Tiap Hari: Gula Semua, Makannya Dana Gak Rp 15 Ribu",2025-01-07T15:03:34Z,Tribunnews,129707,1112,405
ebYjGYUpLtQ,,MAKANAN BERGIZI GRATIS KOK GINI😢😭,2025-07-23T11:41:13Z,Haris Pohan,405964,8603,690
